Date,Open,High,Low,Close
2008-09-15 12:19,3985.75,3987.0,3985.55,3987.0
2008-09-15 12:20,3986.6,3986.6,3981.5,3981.65
2008-09-15 12:21,3981.55,3984.0,3981.55,3983.85
2008-09-15 12:22,3982.9,3982.9,3979.3,3979.55
2008-09-15 12:23,3979.95,3979.95,3975.35,3975.6
2008-09-15 12:24,3975.95,3977.9,3974.25,3974.25
2008-09-15 12:25,3972.35,3974.0,3969.85,3974.0
2008-09-15 12:26,3974.2,3976.0,3974.2,3975.95
2008-09-15 12:27,3978.0,3978.0,3976.2,3977.65
2008-09-15 12:28,3978.1,3979.4,3977.2,3977.2
2008-09-15 12:29,3977.35,3977.35,3970.05,3970.9
2008-09-15 12:30,3971.7,3974.9,3971.6,3974.9
2008-09-15 12:31,3975.9,3978.3,3975.9,3978.3
2008-09-15 12:32,3978.4,3980.8,3978.25,3980.8
2008-09-15 12:33,3982.3,3983.85,3982.3,3983.55
2008-09-15 12:34,3982.85,3985.65,3982.85,3985.65
2008-09-15 12:35,3985.55,3989.1,3985.55,3989.1
2008-09-15 12:36,3989.5,3991.1,3989.5,3990.95
2008-09-15 12:37,3991.45,3993.8,3991.45,3993.75
2008-09-15 12:38,3993.85,3995.55,3993.85,3995.45
2008-09-15 12:39,3995.7,3998.45,3995.7,3998.45
2008-09-15 12:40,3998.95,3999.25,3994.8,3994.8
2008-09-15 12:41,3995.9,3995.9,3987.65,3987.9
2008-09-15 12:42,3988.3,3988.3,3984.55,3984.55
2008-09-15 12:43,3984.15,3984.15,3982.0,3982.5
2008-09-15 12:44,3982.85,3983.9,3982.85,3983.7
2008-09-15 12:45,3984.75,3985.3,3983.45,3985.3
2008-09-15 12:46,3985.8,3990.6,3985.8,3989.3
2008-09-15 12:47,3989.7,3991.55,3989.7,3991.5
2008-09-15 12:48,3991.35,3992.05,3989.2,3989.2
2008-09-15 12:49,3987.7,3987.7,3984.0,3985.65
2008-09-15 12:50,3986.4,3991.35,3986.4,3991.35
2008-09-15 12:51,3990.75,3991.4,3989.8,3991.4
2008-09-15 12:52,3991.85,3995.6,3991.85,3995.6
2008-09-15 12:53,3995.35,3999.1,3994.95,3999.1
2008-09-15 12:54,4000.45,4003.15,4000.45,4001.95
2008-09-15 12:55,4002.8,4005.25,4002.45,4004.5
2008-09-15 12:56,4003.6,4004.05,4000.0,4000.0
2008-09-15 12:57,3999.6,4000.5,3999.4,3999.4
2008-09-15 12:58,3998.6,4001.3,3998.55,4000.95
2008-09-15 12:59,4000.6,4001.6,3998.9,3998.9
2008-09-15 13:00,3998.75,3998.75,3994.5,3994.5
2008-09-15 13:01,3994.25,3994.9,3994.05,3994.4
2008-09-15 13:02,3994.0,3994.6,3993.4,3994.6
2008-09-15 13:03,3994.55,3995.3,3993.95,3993.95
2008-09-15 13:04,3993.35,3996.3,3993.35,3996.05
2008-09-15 13:05,3996.55,3998.2,3996.1,3997.8
2008-09-15 13:06,3997.65,3998.85,3997.65,3998.25
2008-09-15 13:07,3998.7,3998.8,3997.25,3997.25
2008-09-15 13:08,3996.6,3996.85,3996.0,3996.7
2008-09-15 13:09,3997.45,3998.1,3996.45,3996.5
2008-09-15 13:10,3995.75,3995.75,3993.1,3993.35
2008-09-15 13:11,3993.5,3996.7,3993.5,3996.7
2008-09-15 13:12,3997.1,3998.7,3997.1,3998.55
2008-09-15 13:13,3998.65,4002.85,3998.65,4002.85
2008-09-15 13:14,4003.65,4007.3,4003.65,4007.3
2008-09-15 13:15,4007.5,4011.85,4007.5,4011.85
2008-09-15 13:16,4012.35,4015.05,4012.35,4014.65
2008-09-15 13:17,4015.05,4019.3,4015.05,4019.3
2008-09-15 13:18,4019.25,4025.8,4019.25,4024.8
2008-09-15 13:19,4024.5,4025.05,4023.35,4024.35
2008-09-15 13:20,4024.05,4024.6,4018.4,4018.4
2008-09-15 13:21,4018.35,4018.35,4013.45,4013.45
2008-09-15 13:22,4013.4,4016.65,4013.4,4016.65
2008-09-15 13:23,4017.05,4019.8,4017.05,4019.8
2008-09-15 13:24,4021.75,4024.5,4021.55,4023.45
2008-09-15 13:25,4023.35,4023.7,4021.65,4023.65
2008-09-15 13:26,4023.0,4024.3,4021.8,4023.55
2008-09-15 13:27,4023.65,4023.65,4022.3,4022.55
2008-09-15 13:28,4022.35,4022.65,4021.3,4021.65
2008-09-15 13:29,4021.55,4022.0,4021.05,4021.45
2008-09-15 13:30,4022.1,4029.9,4022.1,4029.9
2008-09-15 13:31,4030.2,4035.55,4030.2,4034.85
2008-09-15 13:32,4035.55,4038.2,4035.05,4037.6
2008-09-15 13:33,4037.65,4039.7,4036.8,4036.8
2008-09-15 13:34,4036.75,4036.75,4031.35,4031.35
2008-09-15 13:35,4029.5,4029.5,4025.85,4028.35
2008-09-15 13:36,4027.6,4028.45,4027.0,4027.5
2008-09-15 13:37,4027.65,4030.6,4027.6,4030.6
2008-09-15 13:38,4032.1,4036.3,4032.1,4036.1
2008-09-15 13:39,4036.5,4038.2,4035.6,4035.6
2008-09-15 13:40,4034.85,4034.85,4030.65,4034.75
2008-09-15 13:41,4034.9,4038.25,4034.9,4037.05
